,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
total_cases,1.0,0.5197475924580577,0.5609910776252872,0.9420767363312312,-0.04186552544498867,-0.04203294306516357,1.0000000000000013,0.5197476402950728,0.5609910294129187,0.9420767630714884,-0.04186631633375776,-0.04202677565233957,-0.04921795312429569,0.18206217452779333,0.18206363320941402,0.062279744935765664,0.06227956374667751,0.08124596004071877,0.08125151616634858,0.09700562050218874,0.0970055585428678,0.8187426754278562,0.9897189479952458,0.9897189487310591,0.8187363782879671,0.8664682126558728,0.8664707723727777,0.29740758595274447,-0.3208208417211759,0.8841993750520657,0.8927469059516957,0.8567498886635679,0.5111883058811847,0.5892222854670642,0.6287134013790364,0.8841992100493152,0.8927466779372699,0.8567505859313331,0.5111786986075602,0.6287109694523549,0.46108748101183766,0.46115358912073207,-0.29722200963224704,,,,,,,,,,,,,,,,0.014584918557644622,0.012000849727843778,-0.014001186196360342,0.0145849185576445
new_cases,0.5197475924580577,1.0,0.909045821083788,0.3545225981276516,0.10611631230998045,0.12972944022535643,0.5197475919210979,0.999999999999277,0.9090457980257778,0.3545226787967382,0.10611505254184445,0.12973374385914044,0.17205947214180584,0.3113941685215573,0.31139446527563935,0.39898681474149505,0.39898696338881295,0.08343298249013613,0.08343949456439638,0.18972500851045082,0.18972481535067467,0.6519791129375979,0.5008337233792841,0.5008337399279131,0.651977303907002,0.655632900370624,0.6556209563107918,0.7222203205287901,-0.28883673873024324,0.44503800828231654,0.4111932594343035,0.4587971066687682,0.5618790086589014,0.10853927153937994,0.10786540356805191,0.4450375144326239,0.4111932865702454,0.4587988673968018,0.5618817232255091,0.10786656454518541,-0.008059230653472749,-0.008006089312846165,-0.07626793287121796,,,,,,,,,,,,,,,,-0.04142539120330612,-0.018297686843950223,-0.0025439400603349286,-0.04142539120330617
new_cases_smoothed,0.5609910776252872,0.909045821083788,1.0,0.3831378116308545,0.1904082934125288,0.20637679797534084,0.5609910768629284,0.9090458186638004,0.9999999999990816,0.38313789658907144,0.19040529483385252,0.20638061333657765,0.08457355695999057,0.40696195305324584,0.4069625410198352,0.515943341836066,0.5159434330626821,0.11472524046154477,0.11473446612296698,0.2200098921270918,0.22000982102418126,0.6776679475133349,0.531860195855801,0.5318602140472852,0.6776638462350549,0.7142893491612663,0.7142877061752304,0.7904848762176674,-0.31273345531797164,0.45885184610346896,0.42492725379566565,0.47257988640263937,0.5700034560582233,0.11648637999570667,0.11870456492706596,0.4588526246880233,0.4249287357499687,0.47257961386242114,0.5699937448900525,0.11870524778755628,0.00912925287630708,0.009216624194690692,-0.06352721235326315,,,,,,,,,,,,,,,,-0.03548936471602291,-0.01352426030758189,0.0035798875799742517,-0.03548936471602296
total_deaths,0.9420767363312312,0.3545225981276516,0.3831378116308545,1.0,-0.09131107034613936,-0.09550088848814872,0.9420767363099118,0.3545226495935659,0.38313776154203744,0.9999999999996652,-0.09131256522271086,-0.09549560049711192,-0.08403513261579558,0.10148924316286563,0.1014909383315532,-0.04281090649937887,-0.04281107191137157,0.0631113858898499,0.06311459647832073,0.05872949155724059,0.0587293256798098,0.7902022799437544,0.9414886957265461,0.9414886863614472,0.7901957927904592,0.8386707735977231,0.83867241824453,0.10297530100894799,-0.2315502607063341,0.7809706829038214,0.8140272847981791,0.7340834410335285,0.3204512049793736,0.6969592928530565,0.7424132757459719,0.7809701836552232,0.8140270057931409,0.7340830300055408,0.320444372921756,0.7424104280809031,0.6300582281320632,0.6301012167845487,-0.20021777452670073,,,,,,,,,,,,,,,,0.05181803624340988,0.05284180635845624,-0.016873449928862475,0.05181803624340982
new_deaths,-0.04186552544498867,0.10611631230998045,0.1904082934125288,-0.09131107034613936,1.0,0.7298253812695206,-0.041865525601098366,0.10611638235207028,0.19040829785618119,-0.09131103795613972,0.9999999980092898,0.7298246717641067,-0.13981776545336788,0.6420425923220674,0.642041079589452,0.6287242998469567,0.628724179262733,-0.024030169768276714,-0.024029133166611417,-0.03241629045632626,-0.03241615934168758,0.0710885408942025,-0.09834103835774449,-0.09834104810280388,0.07109178426166132,0.04007252483816446,0.040081028384184404,0.40099006873494214,-0.16726232662595672,-0.1621623819013607,-0.17255759407376925,-0.1516595305332249,-0.0215756226768015,-0.10436631009064598,-0.15328487656064899,-0.162162855190864,-0.17256314336826717,-0.1516567925977985,-0.021542456824127344,-0.1532856270712002,-0.1199873719912914,-0.11996357769626077,0.4084827662200494,,,,,,,,,,,,,,,,-0.014195247291560723,0.0050323011795334,0.0667160975958055,-0.014195247291560744
new_deaths_smoothed,-0.04203294306516357,0.12972944022535643,0.20637679797534084,-0.09550088848814872,0.7298253812695206,1.0,-0.042032943537698764,0.12972951208083008,0.20637678601792483,-0.09550085501810218,0.7298270128218061,0.9999999945671283,-0.24330922256606866,0.8467068118908035,0.846706332839991,0.8147889333677326,0.8147888809410222,0.21726419945372805,0.2172628946017002,0.1736735089620717,0.17367370406196297,0.03686803161337633,-0.12347822234381405,-0.12347822130554943,0.0368650110389811,0.05374557481471821,0.053756795337276043,0.4415187987342141,-0.217443552861027,-0.22152210541114004,-0.23547301511380134,-0.208367926953657,-0.018062504123553227,-0.18547240743569016,-0.20085200853498966,-0.22152300116537982,-0.23547384996934562,-0.20836125351208945,-0.018061050279969036,-0.2008552004955939,-0.15878132120535549,-0.15867628356199837,0.5569775038636097,,,,,,,,,,,,,,,,0.05194436311497287,0.07374012095197817,0.2021238571092857,0.051944363114972913
total_cases_per_million,1.0000000000000013,0.5197475919210979,0.5609910768629284,0.9420767363099118,-0.041865525601098366,-0.042032943537698764,1.0,0.5197476397581133,0.560991028650561,0.942076763050168,-0.041866316489911744,-0.042026776124879435,-0.049217953389309635,0.1820621741116853,0.18206363279330712,0.062279744294576854,0.06227956310548782,0.08124595982627267,0.0812515159519209,0.09700562022607195,0.09700555826675304,0.8187426751863226,0.9897189480385756,0.9897189487743889,0.8187363780463907,0.8664682122936361,0.8664707720105599,0.2974075850513429,-0.3208208416381052,0.8841993753327189,0.8927469062089796,0.8567498889776093,0.5111883058451129,0.5892222851062863,0.6287134011791831,0.8841992103299802,0.8927466781945472,0.8567505862453775,0.5111786985714108,0.6287109692524496,0.46108748057242904,0.4611535886813303,-0.2972220099648317,,,,,,,,,,,,,,,,0.014584918646522999,0.012000849575312634,-0.01400118574052857,0.014584918646523013
new_cases_per_million,0.5197476402950728,0.999999999999277,0.9090458186638004,0.3545226495935659,0.10611638235207028,0.12972951208083008,0.5197476397581133,1.0,0.9090457956057877,0.35452273026272196,0.10611512258347078,0.12973381572774487,0.17205942718462636,0.31139424695809254,0.31139454371243475,0.3989868664359786,0.3989870150834085,0.08343303168544125,0.0834395437602023,0.18972506978833312,0.18972487662858928,0.6519791483430744,0.500833764981008,0.5008337815296057,0.6519773393192894,0.6556329435558836,0.6556209995003567,0.7222203393214597,-0.28883672682625045,0.44503803245006496,0.41119328403910815,0.4587971296260695,0.5618790262615654,0.10853932158994968,0.10786542795032239,0.4450375386006696,0.4111933111745464,0.45879889036145405,0.5618817407988115,0.10786658892680609,-0.00805921308014077,-0.008006071730158312,-0.0762679278532558,,,,,,,,,,,,,,,,-0.04142541321968952,-0.018297722368077536,-0.0025439617515234567,-0.041425413219689566
new_cases_smoothed_per_million,0.5609910294129187,0.9090457980257778,0.9999999999990816,0.38313776154203744,0.19040829785618119,0.20637678601792483,0.560991028650561,0.9090457956057877,1.0,0.38313784650018884,0.19040529927055097,0.20638060138306313,0.08457364180582727,0.4069619712332474,0.4069625592007094,0.5159433558097491,0.5159434470361358,0.11472521048453022,0.11473443614845658,0.2200098814862624,0.22000981038396572,0.677667913999912,0.5318601459020237,0.5318601640934765,0.6776638127314172,0.7142893153829147,0.7142876723883772,0.790484910689035,-0.3127334342456356,0.45885179829031997,0.42492720489071967,0.47257983896476463,0.5700034510178877,0.11648633326011781,0.11870451437672122,0.45885257687389047,0.42492868684788737,0.47257956642278576,0.5699937397966532,0.11870519723946357,0.00912921620657675,0.009216587548858042,-0.06352717540968059,,,,,,,,,,,,,,,,-0.035489416627219814,-0.013524287824851466,0.0035799147943175206,-0.03548941662721983
total_deaths_per_million,0.9420767630714884,0.3545226787967382,0.38313789658907144,0.9999999999996652,-0.09131103795613972,-0.09550085501810218,0.942076763050168,0.35452273026272196,0.38313784650018884,1.0,-0.09131253283222499,-0.0954955670341066,-0.08403515222476968,0.10148926777318636,0.10149096294118347,-0.042810868794292425,-0.042811034206276424,0.06311140353518094,0.06311461412696674,0.05872949614663268,0.058729330269235366,0.7902023169408037,0.9414887167904781,0.9414887074253918,0.790195829789575,0.8386708062922686,0.8386724509380962,0.10297536438829258,-0.2315502398750443,0.7809707218599794,0.8140273061887954,0.7340834972436556,0.32045127005024976,0.6969592432563981,0.7424132004988412,0.7809702226096809,0.814027027182654,0.7340830862128012,0.32044443797685285,0.742410352832404,0.6300581206279976,0.6301011093234329,-0.20021782820723058,,,,,,,,,,,,,,,,0.051818043768799664,0.05284180154546523,-0.016873473620819306,0.05181804376879965
