Code,Title,Points1,Points2,Year,Duplicate?
AC120,International Business,234,269,2019,0
AC137,Liberal Arts,252,275,2019,0
AD101,First Year Art & Design (Common Entry), +mat,ic 550,2019,0
AD102,Graphic Design and Moving Image Design, +mat,ic 635,2019,0
AD103,Textile & Surface Design and Jewellery & Objects, +mat,ic 545,2019,0
AD202,Education & Design or Fine Art (Second Level Teaching), +mat,ic 580,2019,0
AD204,Fine Art, +mat,ic 600,2019,0
AD211,Fashion Design, +mat,ic 600,2019,0
AD212,Product Design, +mat,ic 600,2019,0
AD215,Visual Culture,300,338,2019,0
AD217,Illustration, +mat,ic 625,2019,0
AD222,Interaction Design, +mat,ic 657,2019,0
AL801,Software Design with Virtual Reality and Gaming,304,328,2019,0
AL802,Software Design with Cloud Computing,301,306,2019,0
AL803,Software Design with Mobile Apps and Connected Devices,309,337,2019,0
AL805,Network Management and Cloud Infrastructure,329,442,2019,0
AL810,Quantity Surveying,307,349,2019,0
AL820,Mechanical and Polymer Engineering,300,358,2019,0
AL830,General Nursing,410,429,2019,0
AL832,Psychiatric Nursing,387,403,2019,0
AL836,Nutrition and Health Science,352,383,2019,0
AL837,Sports Science with Exercise Physiology,351,392,2019,0
AL838,Biotechnology,302,372,2019,0
AL839,Microbiology,322,371,2019,0
AL840,Pharmaceutical Sciences,328,411,2019,0
AL841,Athletic and Rehabilitation Therapy,423,430,2019,0
AL842,Bioveterinary Science,310,366,2019,0
AL843,Physical Activity and Health Science,310,330,2019,0
AL850,Business,307,356,2019,0
AL851,Business and Law,301,341,2019,0
AL852,Accounting (with optional placement),290,346,2019,0
AL853,Accounting and Law,305,320,2019,0
AL855,Hospitality Management (with International placement),312,357,2019,0
AL857,Digital Marketing,300,360,2019,0
AL860,Social Care Practice,309,338,2019,0
AL861,Animation and Illustration (portfolio),615,899,2019,0
AL863,Graphic and Digital Design (portfolio),703,898,2019,0
AL864,Early Years Care and Education,307,348,2019,0
AL870,Applied Psychology,409,445,2019,0
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",456,497,2019,0
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400,433,2019,0
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",421,457,2019,0
AS051,"Nutrition, Food and Business Management",337,399,2019,0
AS054,Home Economics,387,401,2019,0
AS110,General Nursing,391,409,2019,0
AS130,Intellectual Disability Nursing,317,338,2019,0
BN101,Business,252,289,2019,0
BN103,Business and Information Technology,254,290,2019,0
BN104,Computing (Information Technology),260,293,2019,0
BN107,Applied Social Studies in Social Care,300,328,2019,0
BN108,Engineering (Common Entry with Award options),271,318,2019,0
BN109,Business (Common Entry with Award options),260,279,2019,0
BN110,International Business,253,308,2019,0
BN111,Sports Management and Coaching,270,298,2019,0
BN112,Creative Digital Media,280,329,2019,0
BN113,Horticulture,289,321,2019,0
BN114,Accounting and Finance,280,332,2019,0
BN115,Community and Youth Development,250,298,2019,0
BN117,Computer Engineering in Mobile Systems,273,311,2019,0
BN118,Early Childhood Care and Education,290,320,2019,0
BN119,Digital Marketing,270,308,2019,0
BN120,Digital Forensics and Cyber Security,281,326,2019,0
BN121,Mechatronic Engineering,276,340,2019,0
BN123,"Design,Technology and Innovation",297,318,2019,0
CI101,Counselling and Psychotherapy (Limerick),276,328,2019,0
CK101,Arts - 3 years,300,368,2019,0
CK102,Social Science,391,431,2019,0
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),340,409,2019,0
