Title,Points1,Points2,Year
Software Design with Virtual Reality and Gaming,304,328,2019
Software Design with Cloud Computing,301,306,2019
Software Design with Mobile Apps and Connected Devices,309,337,2019
Network Management and Cloud Infrastructure,329,442,2019
Quantity Surveying,307,349,2019
Mechanical and Polymer Engineering,300,358,2019
General Nursing,410,429,2019
Psychiatric Nursing,387,403,2019
Nutrition and Health Science,352,383,2019
Sports Science with Exercise Physiology,351,392,2019
Biotechnology,302,372,2019
Microbiology,322,371,2019
Pharmaceutical Sciences,328,411,2019
Athletic and Rehabilitation Therapy,423,430,2019
Bioveterinary Science,310,366,2019
Physical Activity and Health Science,310,330,2019
Business,307,356,2019
Business and Law,301,341,2019
Accounting (with optional placement),290,346,2019
Accounting and Law,305,320,2019
Hospitality Management (with International placement),312,357,2019
Digital Marketing,300,360,2019
Social Care Practice,309,338,2019
Animation and Illustration (portfolio),615,899,2019
Graphic and Digital Design (portfolio),703,898,2019
Early Years Care and Education,307,348,2019
Applied Psychology,409,445,2019
"Business (options, Wexford)",327,349,2019
Early Childhood Education and Care (Wexford),252,308,2019
"Art (portfolio, Wexford)",700,700,2019
Tourism and Event Management (Wexford),252,262,2019
Applied Social Studies - Professional Social Care (Wexford),251,280,2019
Sustainable Farm Management and Agribusiness (Wexford),266,320,2019
Visual Communications and Design (Wexford),309,345,2019
Science (options),261,326,2019
Brewing and Distilling,271,298,2019
Sport Science (options),399,424,2019
Sport Rehabilitation and Athletic Therapy,454,473,2019
Computer Games Development,281,338,2019
Software Development,300,343,2019
Information Technology Management,307,357,2019
Cybercrime and IT Security,300,328,2019
Computing in Interactive Digital Art and Design,274,321,2019
Construction (options),271,308,2019
Architectural Technology,252,290,2019
Civil Engineering,348,383,2019
Mechanical Engineering,310,351,2019
Electronic Systems,279,338,2019
Aerospace Engineering,366,422,2019
TV and Media Production,327,361,2019
Law - LLB,298,328,2019
Product Design Innovation,286,355,2019
Early Childhood Education and Care,265,338,2019
Applied Social Studies - Professional Social Care,290,319,2019
Media and Public Relations,248,307,2019
Digital Marketing with Analytics,279,307,2019
"Sports Management and Coaching (options, portfolio)",700,700,2019
Business (options),260,307,2019
Business with Law,270,288,2019
Accounting,301,408,2019
"Social, Political and Community Studies",251,296,2019
Arts and Humanities (fulfils Teaching Council requirements),203,289,2019
English and History (fulfils Teaching Council requirements),168,289,2019
Chemical and Biopharmaceutical Engineering,432,498,2019
Software Development,351,393,2019
Mechanical Engineering,425,487,2019
Structural Engineering,341,467,2019
Automotive Business Management and Technology,318,347,2019
Creative Digital Media,335,389,2019
Computer Systems,318,381,2019
Music at CIT Cork School of Music,633,1052,2019
Popular Music: Electric Bass Guitar at CIT Cork School of Music,972,1021,2019
Popular Music: Drums at CIT Cork School of Music,878,1043,2019
Popular Music: Electric Guitar at CIT Cork School of Music,584,761,2019
Popular Music: Keyboards at CIT Cork School of Music,839,1009,2019
Popular Music: Voice at CIT Cork School of Music,857,927,2019
Musical Theatre,500,600,2019
Business Information Systems,326,371,2019
"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979,979,2019
Fine Art at CIT Crawford College of Art and Design,620,819,2019
Photography with New Media,920,920,2019
Physical Sciences (Common Entry),279,309,2019
IT Management,282,317,2019
Biomedical Science (Offered jointly by CIT and UCC),546,556,2019
Pharmaceutical Biotechnology,388,422,2019
Nutrition and Health Science,360,393,2019
Biological Sciences (Common Entry),381,419,2019
Analytical Chemistry with Quality Assurance,288,315,2019
Instrument Engineering,291,329,2019
Environmental Science and Sustainable Technology,334,362,2019
Agri-Biosciences,408,431,2019
Accounting,316,389,2019
Marketing,288,329,2019
International Business with Language,300,392,2019
Engineering (Common Entry),381,424,2019
Sustainable Energy Engineering,319,343,2019
Biomedical Engineering,434,477,2019
Architectural Technology,288,332,2019
Interior Architecture,336,390,2019
Quantity Surveying,279,342,2019
Construction Management,253,300,2019
Electrical Engineering,344,374,2019
Electronic Engineering,342,411,2019
Visual Communications,587,888,2019
Tourism Management,249,290,2019
Theatre and Drama Studies at CIT Cork School of Music,768,906,2019
Arts - 3 years,300,368,2019
Social Science,391,431,2019
Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),340,409,2019
Film and Screen Media - 3 years or 4 years (International Pathway),397,442,2019
Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326,388,2019
Arts International - 4 years,429,466,2019
English - 3 years or 4 years (International Pathway),347,423,2019
World Languages,456,506,2019
Early Years and Childhood Studies,398,429,2019
Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),324,470,2019
Criminology - 3 years or 4 years (International Pathway),408,430,2019
Social Science (Youth and Community Work) - 3 years,,,2019
Social Work - Mature Applicants only,,,2019
Sports Studies and Physical Education,499,520,2019
Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307,361,2019
Applied Psychology,506,532,2019
Psychology and Computing - 3 or 4 years (Work Experience Pathway),393,466,2019
