Code,Title,Points1,Mid,Year
AL801,Software Design with Virtual Reality and Gaming,304,328,2019
AL802,Software Design with Cloud Computing,301,306,2019
AL803,Software Design with Mobile Apps and Connected Devices,309,337,2019
AL805,Network Management and Cloud Infrastructure,329,442,2019
AL810,Quantity Surveying,307,349,2019
AL820,Mechanical and Polymer Engineering,300,358,2019
AL830,General Nursing,410,429,2019
AL832,Psychiatric Nursing,387,403,2019
AL836,Nutrition and Health Science,352,383,2019
AL837,Sports Science with Exercise Physiology,351,392,2019
AL838,Biotechnology,302,372,2019
AL839,Microbiology,322,371,2019
AL840,Pharmaceutical Sciences,328,411,2019
AL841,Athletic and Rehabilitation Therapy,423,430,2019
AL842,Bioveterinary Science,310,366,2019
AL843,Physical Activity and Health Science,310,330,2019
AL850,Business,307,356,2019
AL851,Business and Law,301,341,2019
AL852,Accounting (with optional placement),290,346,2019
AL853,Accounting and Law,305,320,2019
AL855,Hospitality Management (with International placement),312,357,2019
AL857,Digital Marketing,300,360,2019
AL860,Social Care Practice,309,338,2019
AL861,Animation and Illustration (portfolio),615,899,2019
AL863,Graphic and Digital Design (portfolio),703,898,2019
AL864,Early Years Care and Education,307,348,2019
AL870,Applied Psychology,409,445,2019
CW018,"Business (options, Wexford)",327,349,2019
CW028,Early Childhood Education and Care (Wexford),252,308,2019
CW038,"Art (portfolio, Wexford)",700,700,2019
CW058,Tourism and Event Management (Wexford),252,262,2019
CW068,Applied Social Studies - Professional Social Care (Wexford),251,280,2019
CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320,2019
CW088,Visual Communications and Design (Wexford),309,345,2019
CW108,Science (options),261,326,2019
CW128,Brewing and Distilling,271,298,2019
CW178,Sport Science (options),399,424,2019
CW188,Sport Rehabilitation and Athletic Therapy,454,473,2019
CW208,Computer Games Development,281,338,2019
CW238,Software Development,300,343,2019
CW248,Information Technology Management,307,357,2019
CW258,Cybercrime and IT Security,300,328,2019
CW268,Computing in Interactive Digital Art and Design,274,321,2019
CW438,Construction (options),271,308,2019
CW468,Architectural Technology,252,290,2019
CW478,Civil Engineering,348,383,2019
CW548,Mechanical Engineering,310,351,2019
CW558,Electronic Systems,279,338,2019
CW568,Aerospace Engineering,366,422,2019
CW578,TV and Media Production,327,361,2019
CW708,Law - LLB,298,328,2019
CW728,Product Design Innovation,286,355,2019
CW748,Early Childhood Education and Care,265,338,2019
CW758,Applied Social Studies - Professional Social Care,290,319,2019
CW808,Media and Public Relations,248,307,2019
CW848,Digital Marketing with Analytics,279,307,2019
CW858,"Sports Management and Coaching (options, portfolio)",700,700,2019
CW908,Business (options),260,307,2019
CW938,Business with Law,270,288,2019
CW948,Accounting,301,408,2019
PC405,"Social, Political and Community Studies",251,296,2019
PC410,Arts and Humanities (fulfils Teaching Council requirements),203,289,2019
PC411,English and History (fulfils Teaching Council requirements),168,289,2019
CR105,Chemical and Biopharmaceutical Engineering,432,498,2019
CR106,Software Development,351,393,2019
CR108,Mechanical Engineering,425,487,2019
CR109,Structural Engineering,341,467,2019
CR110,Automotive Business Management and Technology,318,347,2019
CR112,Creative Digital Media,335,389,2019
CR116,Computer Systems,318,381,2019
CR121,Music at CIT Cork School of Music,633,1052,2019
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,972,1021,2019
