2,1,3,5
AC120,International Business,209,
AC137,Liberal Arts,252,
AD101,"First Year Art & Design (Common Entry,portfolio)",#+matric,
AD102,Graphic Design and Moving Image Design (portfolio),#+matric,
AD103,Textile & Surface Design and Jewellery & Objects (portfolio),#+matric,
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",#+matric,
AD204,Fine Art (portfolio),#+matric,
AD211,Fashion Design (portfolio),#+matric,
AD212,Product Design (portfolio),#+matric,
AD215,Visual Culture,377,320
AD217,Illustration (portfolio),#+matric,
AD222,Interaction Design (portfolio),#+matric,
AL600,Software Design,AQA,
AL601,Computer Engineering,AQA,219
AL602,Mechanical Engineering,AQA,
AL604,Civil Engineering,AQA,AQA
AL605,Music and Instrument Technology,AQA,AQA
AL630,Pharmacy Technician,295,
AL631,Dental Nursing,300,298
AL632,Applied Science,234,
AL650,Business,207,
AL660,Culinary Arts,AQA,AQA
AL661,Bar Supervision,AQA,AQA
AL663,Business (Sport and Recreation),AQA,AQA
AL701,Computer Engineering with Network Infrastructure,216,
AL702,Software Design with Artificial Intelligence for Cloud Computing,214,
AL703,Software Design with Virtual Reality and Gaming,216,
AL704,Computer Engineering,204,
AL705,Software Design with Mobile Apps and Connected Devices,216,
AL710,Mechanical Engineering,223,
AL711,Mechanical Engineering and Renewable Energy,228,
AL712,Automation and Robotics,252,
AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),218,
AL718,Music and Sound Engineering,214,
AL721,Civil Engineering,233,
AL730,Biotechnology,250,
AL731,Veterinary Nursing,400,
AL734,Pharmaceutical Sciences (Drug Development and Analysis),244,
AL740,Exercise and Health Science,250,
AL751,Digital Marketing,241,
AL752,Business,225,
AL761,Hotel and Leisure Management,208,
AL763,Graphic Design (portfolio),781,
AL764,Early Years Care and Education,260,
AL765,Applied Social Studies in Social Care,280,
AL801,Software Design with Virtual Reality and Gaming,303,
AL802,Software Design with Artificial Intelligence for Cloud Computing,332,
