COURSE CODE2,COURSE TITLE,EOS,EOS Mid-point
AC120,International Business,209,280
AC137,Liberal Arts,252,270
AD101,"First Year Art & Design (Common Entry,portfolio)",#+matric,#+matric
AD102,Graphic Design and Moving Image Design (portfolio),#+matric,#+matric
AD103,Textile & Surface Design and Jewellery & Objects (portfolio),#+matric,#+matric
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",#+matric,#+matric
AD204,Fine Art (portfolio),#+matric,#+matric
AD211,Fashion Design (portfolio),#+matric,#+matric
AD212,Product Design (portfolio),#+matric,#+matric
AD215,Visual Culture,320,389
AD217,Illustration (portfolio),#+matric,#+matric
AD222,Interaction Design (portfolio),#+matric,#+matric
AL801,Software Design with Virtual Reality and Gaming,303,367
AL802,Software Design with Artificial Intelligence for Cloud Computing,332,382
AL803,Software Design with Mobile Apps and Connected Devices,337,360
AL805,Computer Engineering with Network Infrastructure,333,360
AL810,Quantity Surveying,326,352
AL811,Civil Engineering,320,432
AL820,Mechanical and Polymer Engineering,308,379
AL830,General Nursing,442,463
AL832,Psychiatric Nursing,384,399
AL836,Nutrition and Health Science,334,379
AL837,Sports Science with Exercise Physiology,351,384
AL838,Biotechnology,307,356
AL839,Microbiology,325,393
AL840,Pharmaceutical Sciences,347,403
AL841,Athletic and Rehabilitation Therapy,430,465
AL842,Bioveterinary Science,313,383
AL843,Physical Activity and Health Science,306,326
AL850,Business,309,377
AL851,Business and Law,295,351
AL852,Accounting,309,422
AL854,Sport Management (with international placement),299,338
AL855,Hospitality Management (with international placement),308,347
AL857,Digital Marketing,304,332
AL860,Social Care Practice,300,348
AL861,Animation and Illustration (portfolio),578,878
AL863,Graphic and Digital Design (portfolio),781,824
AL864,Early Years Care and Education,307,346
AL870,Applied Psychology,418,444
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",518,544
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",434,466
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440,484
AS051,"Nutrition, Food and Business Management",317,398
AS054,Home Economics,398,429
AS110,General Nursing,419,431
AS130,Intellectual Disability Nursing,317,339
CI110,Counselling and Psychotherapy,310,392
CI111,Counselling and Addiction Studies,301,319
CI112,Counselling and Youth Studies,311,311
