Code,Title,Points1,Points2,Year
AC120,International Business,209,280,2020
AC137,Liberal Arts,252,270,2020
AD101,"First Year Art & Design (Common Entry,portfolio)",,,2020
AD102,Graphic Design and Moving Image Design (portfolio),,,2020
AD103,Textile & Surface Design and Jewellery & Objects (portfolio),,,2020
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",,,2020
AD204,Fine Art (portfolio),,,2020
AD211,Fashion Design (portfolio),,,2020
AD212,Product Design (portfolio),,,2020
AD215,Visual Culture,320,389,2020
AD217,Illustration (portfolio),,,2020
AD222,Interaction Design (portfolio),,,2020
AL801,Software Design with Virtual Reality and Gaming,303,367,2020
AL802,Software Design with Artificial Intelligence for Cloud Computing,332,382,2020
AL803,Software Design with Mobile Apps and Connected Devices,337,360,2020
AL805,Computer Engineering with Network Infrastructure,333,360,2020
AL810,Quantity Surveying,326,352,2020
AL811,Civil Engineering,320,432,2020
AL820,Mechanical and Polymer Engineering,308,379,2020
AL830,General Nursing,442,463,2020
AL832,Psychiatric Nursing,384,399,2020
AL836,Nutrition and Health Science,334,379,2020
AL837,Sports Science with Exercise Physiology,351,384,2020
AL838,Biotechnology,307,356,2020
AL839,Microbiology,325,393,2020
AL840,Pharmaceutical Sciences,347,403,2020
AL841,Athletic and Rehabilitation Therapy,430,465,2020
AL842,Bioveterinary Science,313,383,2020
AL843,Physical Activity and Health Science,306,326,2020
AL850,Business,309,377,2020
AL851,Business and Law,295,351,2020
AL852,Accounting,309,422,2020
AL854,Sport Management (with international placement),299,338,2020
AL855,Hospitality Management (with international placement),308,347,2020
AL857,Digital Marketing,304,332,2020
AL860,Social Care Practice,300,348,2020
AL861,Animation and Illustration (portfolio),578,878,2020
AL863,Graphic and Digital Design (portfolio),781,824,2020
AL864,Early Years Care and Education,307,346,2020
AL870,Applied Psychology,418,444,2020
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",518,544,2020
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",434,466,2020
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440,484,2020
AS051,"Nutrition, Food and Business Management",317,398,2020
AS054,Home Economics,398,429,2020
AS110,General Nursing,419,431,2020
AS130,Intellectual Disability Nursing,317,339,2020
CI110,Counselling and Psychotherapy,310,392,2020
CI111,Counselling and Addiction Studies,301,319,2020
CI112,Counselling and Youth Studies,311,311,2020
CK101,Arts - 3 years,300,388,2020
CK102,Social Science,412,451,2020
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302,435,2020
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),319,418,2020
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328,388,2020
CK108,Arts International - 4 years,401,466,2020
CK109,English - 3 years or 4 years (International Pathway),318,441,2020
CK110,World Languages,410,506,2020
CK111,Early Years and Childhood Studies,419,451,2020
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330,434,2020
CK113,Criminology - 3 years or 4 years (International Pathway),423,463,2020
CK114,Social Science (Youth and Community Work) - 3 years,777,,2020
CK115,Social Work - Mature Applicants only,999,,2020
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336,378,2020
CK120,Applied Psychology,531,555,2020
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466,496,2020
CK122,Government and Political Science,326,403,2020
CK123,Anthropology,308,410,2020
CK124,Education - Gaeilge,452,495,2020
CK125,Sports Studies and Physical Education,509,532,2020
CK201,Commerce,477,509,2020
CK202,Accounting,509,542,2020
CK203,Business Information Systems,430,467,2020
CK204,Finance,556,590,2020
CK205,Commerce (International) with French,445,495,2020
CK206,Commerce (International) with German,418,476,2020
CK207,Commerce (International) with Italian,388,455,2020
CK208,Commerce (International) with Hispanic Studies,402,484,2020
CK209,Commerce (International) with Irish,484,531,2020
CK211,Commerce (International) with Chinese Studies,397,433,2020
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444,473,2020
CK213,Food Marketing and Entrepreneurship,462,476,2020
CK214,International Development,346,422,2020
CK301,Law (Pathways) -  3 or 4 years,498,531,2020
CK302,Law and French,542,576,2020
CK304,Law and Irish,540,565,2020
CK307,Law and Business,556,589,2020
CK401,Computer Science,468,509,2020
CK402,Biological and Chemical Sciences,509,532,2020
CK404,"Biological, Earth and Environmental Sciences",465,498,2020
CK405,Genetics,487,498,2020
CK406,Chemical Sciences,462,494,2020
CK407,Mathematical Sciences,565,601,2020
CK408,Physics and Astrophysics,531,589,2020
CK409,Industrial Physics - Offered jointly by UCC and CIT,432,499,2020
CK411,Data Science and Analytics,509,554,2020
CK412,Agricultural Science,489,510,2020
CK504,Nutritional Sciences,517,554,2020
CK505,Food Science,420,465,2020
CK600,Engineering,487,532,2020
CK606,Architecture - Offered jointly by UCC and CIT,469,510,2020
CK701,Medicine (Undergraduate Entry - HPAT required),731,739,2020
CK702,Dentistry,613,613,2020
CK703,Pharmacy,589,602,2020
CK704,Occupational Therapy,555,577,2020
CK705,Speech and Language Therapy,520,541,2020
CK706,Public Health Sciences,454,477,2020
CK707,Medical and Health Sciences,541,555,2020
CK710,General Nursing,454,477,2020
CK712,Children`s and General Nursing (Integrated),533,553,2020
CK720,Mental Health Nursing,419,440,2020
CK730,Intellectual Disability Nursing,400,433,2020
CK740,Midwifery,473,507,2020
CK791,Medicine  - Graduate Entry (GAMSAT required),57,58,2020
CM001,Education - Primary Teaching,484,487,2020
CM002,Education - Primary Teaching - Gaeltacht Applicants,,,2020
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528,570,2020
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494,513,2020
CM010,Education Studies,317,407,2020
CM020,Early Childhood Education,327,390,2020
CR105,Chemical and Biopharmaceutical Engineering,443,532,2020
CR106,Software Development,411,463,2020
CR108,Mechanical Engineering,434,509,2020
CR109,Structural Engineering,394,423,2020
CR110,Automotive Business Management and Technology,311,362,2020
CR112,Creative Digital Media,361,430,2020
CR116,Computer Systems,332,393,2020
CR121,Music at CIT Cork School of Music,912,1078,2020
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088,1088,2020
CR126,Popular Music: Drums at CIT Cork School of Music,801,940,2020
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,768,978,2020
CR128,Popular Music: Keyboards at CIT Cork School of Music,840,881,2020
CR129,Popular Music: Voice at CIT Cork School of Music,841,966,2020
