,Code,Title,Points1,Points2,Mid-point,Year
0,AC120,International Business,209,,280,2020
1,AC137,Liberal Arts,252,,270,2020
2,AD101,"First Year Art & Design (Common Entry,portfolio)",,,,2020
3,AD102,Graphic Design and Moving Image Design (portfolio),,,,2020
4,AD103,Textile & Surface Design and Jewellery & Objects (portfolio),,,,2020
5,AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",,,,2020
6,AD204,Fine Art (portfolio),,,,2020
7,AD211,Fashion Design (portfolio),,,,2020
8,AD212,Product Design (portfolio),,,,2020
9,AD215,Visual Culture,377,320,389,2020
10,AD217,Illustration (portfolio),,,,2020
11,AD222,Interaction Design (portfolio),,,,2020
45,AL801,Software Design with Virtual Reality and Gaming,303,,367,2020
46,AL802,Software Design with Artificial Intelligence for Cloud Computing,332,,382,2020
47,AL803,Software Design with Mobile Apps and Connected Devices,337,,360,2020
48,AL805,Computer Engineering with Network Infrastructure,333,,360,2020
49,AL810,Quantity Surveying,319,,352,2020
50,AL811,Civil Engineering,320,,432,2020
51,AL820,Mechanical and Polymer Engineering,308,,379,2020
52,AL830,General Nursing,442,,463,2020
53,AL832,Psychiatric Nursing,387,384,399,2020
54,AL836,Nutrition and Health Science,334,,379,2020
55,AL837,Sports Science with Exercise Physiology,351,,384,2020
56,AL838,Biotechnology,307,,356,2020
57,AL839,Microbiology,325,,393,2020
58,AL840,Pharmaceutical Sciences,347,,403,2020
59,AL841,Athletic and Rehabilitation Therapy,430,,465,2020
60,AL842,Bioveterinary Science,313,,383,2020
61,AL843,Physical Activity and Health Science,306,,326,2020
62,AL850,Business,309,,377,2020
63,AL851,Business and Law,295,,351,2020
64,AL852,Accounting,309,,422,2020
65,AL854,Sport Management (with international placement),302,299,338,2020
66,AL855,Hospitality Management (with international placement),308,,347,2020
67,AL857,Digital Marketing,304,,332,2020
68,AL860,Social Care Practice,300,,348,2020
69,AL861,Animation and Illustration (portfolio),578,,878,2020
70,AL863,Graphic and Digital Design (portfolio),781,,824,2020
71,AL864,Early Years Care and Education,307,,346,2020
72,AL870,Applied Psychology,418,,444,2020
73,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",510,,544,2020
74,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",441,434,466,2020
75,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440,440,484,2020
76,AS051,"Nutrition, Food and Business Management",328,317,398,2020
77,AS054,Home Economics,408,398,429,2020
78,AS110,General Nursing,419,,431,2020
79,AS130,Intellectual Disability Nursing,336,328,339,2020
83,CI110,Counselling and Psychotherapy,310,,392,2020
84,CI111,Counselling and Addiction Studies,301,,319,2020
85,CI112,Counselling and Youth Studies,311,,311,2020
86,CK101,Arts - 3 years,300,,388,2020
87,CK102,Social Science,412,,451,2020
88,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302,,435,2020
89,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),368,337,418,2020
90,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328,,388,2020
