,Code,Title,Points1,Points2,EOS Points,Mid-point,Year
29,AL801,Software Design for Virtual Reality and Gaming,300,,300,359,2021
30,AL802,Software Design in Artificial Intelligence for Cloud Computing,313,,313,381,2021
31,AL803,Software Design for Mobile Apps and Connected Devices,350,,350,398,2021
32,AL805,Computer Engineering for Network Infrastructure,321,,321,381,2021
33,AL810,Quantity Surveying,328,,328,377,2021
34,AL811,Civil Engineering,,,,0,2021
35,AL820,Mechanical and Polymer Engineering,327,,327,398,2021
36,AL830,General Nursing,451,444,440,455,2021
37,AL832,Mental Health Nursing,440,431,431,451,2021
38,AL835,Pharmacology,356,,356,429,2021
39,AL836,Nutrition and Health Science,346,,346,398,2021
40,AL837,Sports Science with Exercise Physiology,357,,357,409,2021
41,AL838,Biotechnology,324,,324,434,2021
42,AL839,Microbiology,325,,325,408,2021
43,AL840,Pharmaceutical Sciences,346,,346,402,2021
44,AL841,Athletic and Rehabilitation Therapy,477,476,462,489,2021
45,AL842,Bioveterinary Science,338,,338,413,2021
46,AL843,Physical Activity and Health Science,306,,306,358,2021
47,AL849,Culinary Entrepreneurship,297,,297,327,2021
48,AL850,Business,309,,309,369,2021
49,AL851,Business and Law,302,,302,357,2021
50,AL852,Accounting,336,,336,466,2021
51,AL854,Sport Management (with international placement),300,299,299,349,2021
52,AL855,Hospitality Management (with international placement),309,,309,378,2021
53,AL857,Digital Marketing,304,,304,398,2021
54,AL859,International Business,308,,308,371,2021
55,AL860,Social Care Practice,301,,301,359,2021
56,AL861,Animation and Illustration (portfolio),575,,575,760,2021
57,AL863,Graphic and Digital Design (portfolio),747,,747,808,2021
58,AL864,Early Years Care and Education,306,,306,366,2021
59,AL870,Applied Psychology,484,467,452,480,2021
61,CW018,Business (options),307,,307,381,2021
63,CW028,Early Childhood Education and Care,260,,260,378,2021
65,CW038,Art (portfolio),700,,700,700,2021
67,CW048,Creative Computing and Digital Innovation,,,,0,2021
69,CW058,Tourism and Event Management,292,,292,356,2021
70,CW068,Applied Social Studies in Professional Social Care,250,,250,306,2021
72,CW078,Sustainable Farm Management and Agribusiness,270,,270,363,2021
74,CW088,Visual Communications and Design,270,,270,290,2021
77,CW108,Science (options),266,,266,361,2021
81,CW128,Brewing and Distilling,307,,307,349,2021
82,CW138,Sport and Exercise Science,430,423,423,462,2021
83,CW148,Strength and Conditioning,388,,388,409,2021
84,CW188,Sport Rehabilitation and Athletic Therapy,451,,451,488,2021
87,CW208,Computer Games Development,272,,272,333,2021
91,CW238,Software Development,295,,295,387,2021
92,CW248,Information Technology Management,293,,293,338,2021
93,CW258,Cybercrime and IT Security,292,,292,382,2021
94,CW268,Computing in Interactive Digital Art and Design,291,,291,384,2021
98,CW438,Construction (options),260,251,251,336,2021
99,CW468,Architectural Technology,291,283,283,353,2021
100,CW478,Civil Engineering,465,,465,465,2021
105,CW548,Mechanical Engineering,330,328,328,396,2021
106,CW558,Electronic Systems,280,,280,380,2021
107,CW568,Aerospace Engineering,371,359,359,433,2021
108,CW578,TV and Media Production,318,,318,358,2021
111,CW708,Law - LLB,292,,292,390,2021
113,CW728,Product Design Innovation,246,,246,370,2021
114,CW748,Early Childhood Education and Care,290,,290,377,2021
115,CW758,Professional Social Care Practice,360,358,358,397,2021
117,CW808,Media and Public Relations,247,,247,316,2021
121,CW848,Digital Marketing with Analytics,269,,269,336,2021
122,CW858,"Sports Management and Coaching (options, portfolio)",700,,700,700,2021
124,CW908,Business (options),272,,272,348,2021
128,CW938,Business with Law,270,,270,382,2021
129,CW948,Accounting,319,,319,454,2021
132,PC405,"Social, Political and Community Studies",263,235,235,298,2021
133,PC410,Arts and Humanities (fulfils Teaching Council requirements),262,230,230,336,2021
134,PC411,English and History (fulfils Teaching Council requirements),243,224,224,356,2021
159,CR105,Chemical and Biopharmaceutical Engineering,443,,443,532,2021
160,CR106,Software Development,431,,431,476,2021
161,CR108,Mechanical Engineering,434,,434,509,2021
162,CR109,Structural Engineering,396,,396,465,2021
163,CR110,Automotive Business Management and Technology,336,,336,388,2021
164,CR112,Creative Digital Media at CIT Crawford College of Art and Design,390,,390,455,2021
165,CR116,Computer Systems,365,,365,400,2021
166,CR121,Music at CIT Cork School of Music,904,904,904,1141,2021
167,CR125,Popular Music at CIT Cork School of Music,1028,,1028,1029,2021
