Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
International Business,234,269,209,280,294   ,294
Liberal Arts                                       ,252,275,252,270,271   ,270
First Year Art & Design (Common Entry), , 550,,,554  ,
Graphic Design and Moving Image Design, , 635,,,538  ,
Textile & Surface Design and Jewellery & Objects, , 545,,,505  ,
"Education & Design or Fine Art (Second Level Teaching,portfolio))", , 580,,,591  ,
Fine Art (portfolio), , 600,,,514  ,
Fashion Design (portfolio), , 600,,,760  ,679
Product Design (portfolio), , 600,,,413  ,
Visual Culture,300,338,320,389,337   ,300
Illustration (portfolio)                           , , 625,,,738  ,
Interaction Design (portfolio), , 657,,,444  ,
Software Design with Virtual Reality and Gaming,304,328,303,367,300   ,
Software Design with Artificial Intelligence for Cloud Computing,301,306,332,382,313   ,
Software Design for Mobile Apps and Connected Devi ,309,337,337,360,350   ,
Network Management and Cloud Infrastructure,329,442,333,360,321   ,
Quantity Surveying,307,349,326,352,328   ,
Civil Engineering                                  ,,,320,432,      ,
Mechanical and Polymer Engineering                 ,300,358,308,379,327   ,
General Nursing                                    ,410,429,442,463,451  ,444
Psychiatric Nursing,387,403,384,399,440  ,431
Pharmacology                                       ,,,,,356   ,
Nutrition and Health Science                       ,352,383,334,379,346   ,
Sports Science with Exercise Physiology,351,392,351,384,357   ,
Biotechnology,302,372,307,356,324   ,
Microbiology,322,371,325,393,325   ,
Pharmaceutical Sciences,328,411,347,403,346   ,
Athletic and Rehabilitation Therapy,423,430,430,465,477   ,476
Bioveterinary Science,310,366,313,383,338   ,
Physical Activity and Health Science,310,330,306,326,306   ,
Culinary Entrepreneurship                          ,,,,,297   ,
Business,307,356,309,377,309   ,
Business and Law                                   ,301,341,295,351,302   ,
Accounting (with optional placement),290,346,309,422,336   ,
Accounting and Law,305,320,,,,
Sport Management (with international placement),,,299,338,300   ,299
Hospitality Management (with international placeme ,312,357,308,347,309   ,
Digital Marketing,300,360,304,332,304   ,
International Business                             ,,,,,308   ,
Social Care Practice                               ,309,338,300,348,301   ,
Animation and Illustration (portfolio),615,899,578,878,575  ,
Graphic and Digital Design (portfolio),703,898,781,824,747  ,
Early Years Care and Education,307,348,307,346,306   ,
Applied Psychology,409,445,418,444,484  ,467
"Education, Home Economics and Biology - with concurrent Teacher Ed",456,497,518,544,542   ,533
"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400,433,434,466,464   ,452
Education  Home Economics and Irish - with concurr ,421,457,440,484,463  ,457
Nutrition  Food and Business Management            ,337,399,317,398,378   ,347
Home Economics,387,401,398,429,440  ,419
General Nursing,391,409,419,431,440  ,432
Intellectual Disability Nursing,317,338,317,339,387   ,358
Business,252,289,,,,
Business and Information Technology,254,290,,,,
Computing (Information Technology),260,293,,,,
Applied Social Studies in Social Care,300,328,,,,
Engineering (Common Entry with Award options),271,318,,,,
Business (Common Entry with Award options),260,279,,,,
International Business,253,308,,,,
Sports Management and Coaching,270,298,,,,
Creative Digital Media,280,329,,,,
Horticulture,289,321,,,,
Accounting and Finance,280,332,,,,
Community and Youth Development,250,298,,,,
Computer Engineering in Mobile Systems,273,311,,,,
Early Childhood Care and Education,290,320,,,,
Digital Marketing,270,308,,,,
Digital Forensics and Cyber Security,281,326,,,,
Mechatronic Engineering,276,340,,,,
"Design,Technology and Innovation",297,318,,,,
Business                                           ,,,,,210   ,210
Counselling and Psychotherapy (Limerick),276,328,,,,
Counselling and Psychotherapy,,,310,392,292   ,
Counselling and Psychotherapy with Addiction Studi ,,,301,319,290   ,
Counselling and Youth Studies,,,311,311,325   ,
Arts - 3 years,300,368,300,388,300   ,
Social Science,391,431,412,451,434   ,431
Arts with Music - 3 or 4 years (BMus or Chinese/Eu ,340,409,302,435,339  ,
Film and Screen Media - 3 years or 4 years (Intern ,397,442,319,418,421   ,420
Geographical and Archaeological Sciences - 3 or 4  ,326,388,328,388,312   ,
Arts International - 4 years,429,466,401,466,440  ,440
English - 3 years or 4 years (International Pathway),347,423,318,441,367   ,357
World Languages,456,506,410,506,488   ,
Early Years and Childhood Studies,398,429,419,451,409   ,403
Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),324,470,330,434,371  ,
Criminology - 3 years or 4 years (International Pathway),408,430,423,463,464   ,463
Social Science (Youth and Community Work) - 3 years,,,777,,     ,
Social Work - Mature Applicants only,,,999,,      ,
Sports Studies and Physical Education,499,520,,,,
Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307,361,336,378,347   ,339
Applied Psychology                                 ,506,532,531,555,544   ,543
Psychology and Computing - 3 or 4 years (Work Experience Pathway),393,466,466,496,499   ,488
Government and Political Science,355,410,326,403,399   ,
Anthropology,,,308,410,308   ,
Education - Gaeilge                                ,,,452,495,473   ,
Sports Studies and Physical Education              ,,,509,532,564   ,555
Commerce                                           ,465,489,477,509,500   ,499
Accounting,467,506,509,542,553   ,543
Business Information Systems,409,444,430,467,455   ,452
Finance                                            ,531,555,556,590,566  ,566
Commerce (International) with French               ,409,473,445,495,465   ,
Commerce (International) with German,408,446,418,476,466   ,455
Commerce (International) with Italian,408,425,388,455,423   ,418
Commerce (International) with Hispanic Studies,431,455,402,484,488   ,486
Commerce (International) with Irish,509,528,484,531,507   ,
Commerce (International) with Chinese Studies,398,420,397,433,385   ,
Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400,429,444,473,445   ,444
Food Marketing and Entrepreneurship,,,462,476,466   ,
International Development,,,346,422,332   ,
Law (Pathways) -  3 or 4 years                     ,476,519,498,531,533   ,532
Law and French,453,531,542,576,545   ,
Law and Irish,462,510,540,565,588   ,
Law and Business,522,554,556,589,589  ,589
Computer Science,402,456,468,509,503   ,495
Biological and Chemical Sciences,498,520,509,532,555  ,555
"Biological, Earth and Environmental Sciences",412,451,465,498,500   ,495
Genetics                                           ,476,496,487,498,543   ,
Chemical Sciences                                  ,457,488,462,494,532   ,
Mathematical Sciences,531,578,565,601,566   ,
Physics and Astrophysics                           ,511,566,531,589,566   ,
Industrial Physics (offered jointly by UCC and CIT),413,532,432,499,465   ,
Data Science and Analytics,509,542,509,554,531   ,
Agricultural Science,457,509,489,510,506   ,
Food Marketing and Entrepreneurship,433,456,,,,
Nutritional Sciences,492,509,517,554,555   ,554
Food Science                                       ,444,477,420,465,463   ,
International Development and Food Policy,367,410,,,,
Engineering,465,532,487,532,510   ,509
Architecture - Offered jointly by UCC and CIT,465,496,469,510,543   ,
Medicine (Undergraduate Entry - HPAT required),729,740,731,739,738  ,737
Dentistry                                          ,590,613,613,613,625  ,625
Pharmacy,577,589,589,602,613  ,613
Occupational Therapy,532,554,555,577,601  ,
Speech and Language Therapy                        ,509,529,520,541,568   ,566
Public Health Sciences,419,451,454,477,500   ,
Medical and Health Sciences,510,543,541,555,578  ,
General Nursing,440,466,454,477,498  ,497
Children`s and General Nursing (Integrated),499,520,533,553,565   ,
Mental Health Nursing                              ,398,429,419,440,455   ,452
Intellectual Disability Nursing                    ,359,388,400,433,431   ,
Midwifery,444,474,473,507,509  ,
Medicine  - Graduate Entry (GAMSAT required)       ,58,59,57,58,60  ,60
Education - Primary Teaching,452,462,484,487,508   ,
Education - Primary Teaching - Gaeltacht Applicants,421,440,,,462  ,
Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491,506,528,570,513  ,
Oideachas - Bunmh�inteoireacht Tr� Mhe�n na Gaeilg ,492,569,494,513,480  ,
Education Studies                                  ,317,373,317,407,382   ,327
Early Childhood Education                          ,336,363,327,390,317   ,
Chemical and Biopharmaceutical Engineering,432,498,443,532,443   ,
Software Development                               ,351,393,411,463,431   ,
Mechanical Engineering,425,487,434,509,434   ,
Structural Engineering,341,467,394,423,396   ,
Automotive Business Management and Technology,318,347,311,362,336   ,
Creative Digital Media at CIT Crawford College of  ,335,389,361,430,390   ,
Computer Systems                                   ,318,381,332,393,365   ,
Music at CIT Cork School of Music,633,1052,912,1078,904  ,904
Popular Music: Electric Bass Guitar at CIT Cork School of Music,972,1021,1088,1088,1028 ,
Popular Music: Drums at CIT Cork School of Music,878,1043,801,940,,
Popular Music: Electric Guitar at CIT Cork School of Music,584,761,768,978,,
Popular Music: Keyboards at CIT Cork School of Music,839,1009,840,881,,
Popular Music: Voice at CIT Cork School of Music,857,927,841,966,,
Musical Theatre,500,600,505,600,525  ,
Business Information Systems                       ,326,371,335,391,350   ,
"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979,979,,,450  ,
