Code,Title,Points1_2019,Points2_2019,Mid_2019,Points1_2020,Points2_2020,Mid_2020,Points1_2021,Points2_2021,Mid_2021
AC120,International Business,234,,269,209,,280.0,294,294.0,352.0
AC137,Liberal Arts,252,,275,252,,270.0,271,270.0,334.0
AD101,First Year Art & Design (Common Entry),,, 550,,,,554,,604.0
AD102,Graphic Design and Moving Image Design,,, 635,,,,538,,625.0
AD103,Textile & Surface Design and Jewellery & Objects,,, 545,,,,505,,581.0
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",,, 580,,,,591,,620.0
AD204,Fine Art,,, 600,,,,514,,583.0
AD211,Fashion Design (portfolio),,, 600,,,,760,679.0,679.0
AD212,Product Design (portfolio),,, 600,,,,413,,569.0
AD215,Visual Culture,300,,338,377,320,389.0,337,300.0,380.0
AD217,Illustration,,, 625,,,,738,,
AD222,Interaction Design (portfolio),,, 657,,,,444,,488.0
AL801,Software Design with Virtual Reality and Gaming,304,,328,303,,367.0,300,,359.0
AL802,Software Design with Artificial Intelligence for Cloud Computing,301,,306,332,,382.0,313,,381.0
AL803,Software Design with Mobile Apps and Connected Devices,309,,337,337,,360.0,350,,398.0
AL805,Computer Engineering for Network Infrastructure,329,,442,333,,360.0,321,,381.0
AL810,Quantity Surveying,307,,349,319,,352.0,328,,377.0
AL811,Civil Engineering,,,,320,,432.0,,,0.0
AL820,Mechanical and Polymer Engineering,300,,358,308,,379.0,327,,398.0
AL830,General Nursing,410,,429,442,,463.0,451,444.0,455.0
AL832,Mental Health Nursing,387,,403,387,384,399.0,440,431.0,451.0
AL835,Pharmacology,,,,,,,356,,429.0
AL836,Nutrition and Health Science,352,,383,334,,379.0,346,,398.0
AL837,Sports Science with Exercise Physiology,351,,392,351,,384.0,357,,409.0
AL838,Biotechnology,302,,372,307,,356.0,324,,434.0
AL839,Microbiology,322,,371,325,,393.0,325,,408.0
AL840,Pharmaceutical Sciences,328,,411,347,,403.0,346,,402.0
AL841,Athletic and Rehabilitation Therapy,423,,430,430,,465.0,477,476.0,489.0
AL842,Bioveterinary Science,310,,366,313,,383.0,338,,413.0
AL843,Physical Activity and Health Science,310,,330,306,,326.0,306,,358.0
AL849,Culinary Entrepreneurship,,,,,,,297,,327.0
AL850,Business,307,,356,309,,377.0,309,,369.0
AL851,Business and Law,301,,341,295,,351.0,302,,357.0
AL852,Accounting,290,,346,309,,422.0,336,,466.0
AL853,Accounting and Law,305,,320,,,,,,
AL854,Sport Management (with international placement),,,,302,299,338.0,300,299.0,349.0
AL855,Hospitality Management (with international placement),312,,357,308,,347.0,309,,378.0
AL857,Digital Marketing,300,,360,304,,332.0,304,,398.0
