Code,Title,Points1,Points2,Mid-point,Year
AC120,International Business,234,,269,2019
AC120,International Business,294,294,352,2021
AC120,International Business,209,,280,2020
AC137,Liberal Arts,271,270,334,2021
AC137,Liberal Arts,252,,275,2019
AC137,Liberal Arts,252,,270,2020
AD101,First Year Art & Design (Common Entry), ,, 550,2019
AD101,"First Year Art and Design (Common Entry,portfolio)",554,,604,2021
AD101,"First Year Art & Design (Common Entry,portfolio)",,,,2020
AD102,Graphic Design and Moving Image Design, ,, 635,2019
AD102,Graphic Design and Moving Image Design (portfolio),538,,625,2021
AD102,Graphic Design and Moving Image Design (portfolio),,,,2020
AD103,Textile & Surface Design and Jewellery & Objects, ,, 545,2019
AD103,Textile and Surface Design and Jewellery and Objects (portfolio),505,,581,2021
AD103,Textile & Surface Design and Jewellery & Objects (portfolio),,,,2020
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",,,,2020
AD202,Education & Design or Fine Art (Second Level Teaching), ,, 580,2019
AD202,"Education and Design or Fine Art (Second Level Teaching,portfolio))",591,,620,2021
AD204,Fine Art, ,, 600,2019
AD204,Fine Art (portfolio),514,,583,2021
AD204,Fine Art (portfolio),,,,2020
AD211,Fashion Design (portfolio),760,679,679,2021
AD211,Fashion Design (portfolio),,,,2020
AD211,Fashion Design, ,, 600,2019
AD212,Product Design (portfolio),,,,2020
AD212,Product Design, ,, 600,2019
AD212,Product Design (portfolio),413,,569,2021
AD215,Visual Culture,300,,338,2019
AD215,Visual Culture,377,320,389,2020
AD215,Visual Culture,337,300,380,2021
AD217,Illustration, ,, 625,2019
AD217,Illustration (portfolio),738,,,2021
AD217,Illustration (portfolio),,,,2020
AD222,Interaction Design (portfolio),,,,2020
AD222,Interaction Design (portfolio),444,,488,2021
AD222,Interaction Design, ,, 657,2019
AL801,Software Design with Virtual Reality and Gaming,303,,367,2020
AL801,Software Design with Virtual Reality and Gaming,304,,328,2019
AL801,Software Design for Virtual Reality and Gaming,300,,359,2021
AL802,Software Design with Artificial Intelligence for Cloud Computing,332,,382,2020
AL802,Software Design with Cloud Computing,301,,306,2019
AL802,Software Design in Artificial Intelligence for Cloud Computing,313,,381,2021
AL803,Software Design with Mobile Apps and Connected Devices,309,,337,2019
AL803,Software Design with Mobile Apps and Connected Devices,337,,360,2020
AL803,Software Design for Mobile Apps and Connected Devices,350,,398,2021
AL805,Computer Engineering for Network Infrastructure,321,,381,2021
AL805,Computer Engineering with Network Infrastructure,333,,360,2020
AL805,Network Management and Cloud Infrastructure,329,,442,2019
AL810,Quantity Surveying,319,,352,2020
AL810,Quantity Surveying,307,,349,2019
